kernel_str,learned_kernel,mse,lml,std,R2_tr,R2,R2_test
"WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1) + DotProduct(sigma_0=1)","WhiteKernel(noise_level=1e-05) + ExpSineSquared(length_scale=4.7, periodicity=78.6) + WhiteKernel(noise_level=1e-05) + DotProduct(sigma_0=0.00191)",23.4001,305.6775,4.8374,0.9998,0.9998,0.9998
RBF(length_scale=1) + 1**2 + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1),RBF(length_scale=31.2) + 0.878**2 + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05),26.4787,289.7997,5.1457,0.9998,0.6258,-0.7099
"WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5) + RationalQuadratic(alpha=1, length_scale=1)","WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05) + Matern(length_scale=1e+05, nu=1.5) + RationalQuadratic(alpha=1e+05, length_scale=31.2)",26.4662,289.7898,5.1445,0.9998,0.5966,-0.8435
"RBF(length_scale=1) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1)","RBF(length_scale=1e+05) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05) + ExpSineSquared(length_scale=4.7, periodicity=78.6)",23.6134,314.8214,4.8594,0.9998,0.9998,0.9998
"ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1)","ExpSineSquared(length_scale=1.55, periodicity=0.994) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05)",24.0288,303.8151,4.9019,0.9998,0.9998,0.9998
"ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1) + 1**2 + WhiteKernel(noise_level=1)","ExpSineSquared(length_scale=4.7, periodicity=0.987) + WhiteKernel(noise_level=1e-05) + 0.209**2 + WhiteKernel(noise_level=1e-05)",23.6189,314.9178,4.8599,0.9998,0.9998,0.9998
"WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1) + 1**2 + WhiteKernel(noise_level=1)","WhiteKernel(noise_level=1e-05) + ExpSineSquared(length_scale=4.7, periodicity=0.987) + 0.209**2 + WhiteKernel(noise_level=1e-05)",23.6189,314.9178,4.8599,0.9998,0.9998,0.9998
"WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1)","WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05) + ExpSineSquared(length_scale=4.7, periodicity=78.6) + WhiteKernel(noise_level=1e-05)",23.6203,314.8003,4.8601,0.9998,0.9998,0.9998
DotProduct(sigma_0=1) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + 1**2,DotProduct(sigma_0=0.0821) + WhiteKernel(noise_level=0.106) + WhiteKernel(noise_level=1e-05) + 1.15**2,115273.2915,-93.8060,339.5192,0.0602,-0.0203,-0.3260
"WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + 1**2 + Matern(length_scale=1, nu=1.5)","WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05) + 0.818**2 + Matern(length_scale=68.1, nu=1.5)",41.4659,273.6163,6.4394,0.9997,0.6220,-0.7270
"RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e+05, length_scale=31.2) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05) + RationalQuadratic(alpha=1.18e-05, length_scale=1e+05)",26.4660,289.7899,5.1445,0.9998,0.5966,-0.8435
"RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1)","RationalQuadratic(alpha=1e+05, length_scale=31.4) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05)",28.4525,288.8126,5.3341,0.9998,0.9452,0.7501
"1**2 + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5)","0.818**2 + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05) + Matern(length_scale=68.1, nu=1.5)",41.4659,273.6163,6.4394,0.9997,0.6220,-0.7270
"RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)","RationalQuadratic(alpha=1e+05, length_scale=31.2) + WhiteKernel(noise_level=1e-05) + Matern(length_scale=1e+05, nu=1.5) + WhiteKernel(noise_level=1e-05)",26.4662,289.7898,5.1445,0.9998,0.5966,-0.8435
"WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1)","WhiteKernel(noise_level=1e-05) + ExpSineSquared(length_scale=4.7, periodicity=78.6) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05)",23.6203,314.8003,4.8601,0.9998,0.9998,0.9998
"WhiteKernel(noise_level=1) + RationalQuadratic(alpha=1, length_scale=1) + RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1)","WhiteKernel(noise_level=1e-05) + RationalQuadratic(alpha=1.09e-05, length_scale=1e+05) + RationalQuadratic(alpha=1e+05, length_scale=31.2) + WhiteKernel(noise_level=1e-05)",26.4662,289.7899,5.1445,0.9998,0.5966,-0.8435
"WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + RationalQuadratic(alpha=1, length_scale=1) + Matern(length_scale=1, nu=1.5)","WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05) + RationalQuadratic(alpha=1e+05, length_scale=31.2) + Matern(length_scale=1e+05, nu=1.5)",26.4662,289.7898,5.1445,0.9998,0.5966,-0.8435
"WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1) + DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)","WhiteKernel(noise_level=1e-05) + ExpSineSquared(length_scale=4.7, periodicity=0.497) + DotProduct(sigma_0=0.000282) + WhiteKernel(noise_level=1e-05)",23.3999,305.6775,4.8373,0.9998,0.9998,0.9998
DotProduct(sigma_0=1) + WhiteKernel(noise_level=1) + RBF(length_scale=1) + WhiteKernel(noise_level=1),DotProduct(sigma_0=4.61e-05) + WhiteKernel(noise_level=1e-05) + RBF(length_scale=31.5) + WhiteKernel(noise_level=1e-05),28.7701,285.2167,5.3638,0.9998,-0.5985,-6.3075
"WhiteKernel(noise_level=1) + 1**2 + WhiteKernel(noise_level=1) + RationalQuadratic(alpha=1, length_scale=1)","WhiteKernel(noise_level=1e-05) + 0.878**2 + WhiteKernel(noise_level=1e-05) + RationalQuadratic(alpha=1e+05, length_scale=31.2)",26.4787,289.7995,5.1457,0.9998,0.6258,-0.7099
WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + 1**2 + DotProduct(sigma_0=1),WhiteKernel(noise_level=0.106) + WhiteKernel(noise_level=1e-05) + 0.192**2 + DotProduct(sigma_0=1.13),115273.2914,-93.8060,339.5192,0.0602,-0.0203,-0.3260
"RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1)","RationalQuadratic(alpha=1e+05, length_scale=31.4) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05)",28.4446,288.9259,5.3333,0.9998,0.9451,0.7499
WhiteKernel(noise_level=1) + RBF(length_scale=1) + WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05) + RBF(length_scale=31.4) + WhiteKernel(noise_level=1e-05),28.4446,288.9261,5.3333,0.9998,0.9451,0.7499
RBF(length_scale=1) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1),RBF(length_scale=31.4) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05),28.4446,288.9261,5.3333,0.9998,0.9451,0.7499
"RationalQuadratic(alpha=1, length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1)","RationalQuadratic(alpha=1e-05, length_scale=1e+05) + ExpSineSquared(length_scale=0.00196, periodicity=1e+05) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05)",26.4662,289.7900,5.1445,0.9998,0.5966,-0.8435
"ExpSineSquared(length_scale=1, periodicity=1) + RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1)","ExpSineSquared(length_scale=4.7, periodicity=78.6) + RationalQuadratic(alpha=1e-05, length_scale=1e+05) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05)",23.6136,314.8217,4.8594,0.9998,0.9998,0.9998
"WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5) + RBF(length_scale=1) + WhiteKernel(noise_level=1)","WhiteKernel(noise_level=1e-05) + Matern(length_scale=6.21e+04, nu=1.5) + RBF(length_scale=31.2) + WhiteKernel(noise_level=1e-05)",26.4672,289.7900,5.1446,0.9998,0.5966,-0.8438
"Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5)","Matern(length_scale=68.1, nu=1.5) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05) + Matern(length_scale=1e+05, nu=1.5)",41.4908,273.5999,6.4413,0.9997,0.5841,-0.9003
"WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + 1**2 + ExpSineSquared(length_scale=1, periodicity=1)","WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05) + 0.209**2 + ExpSineSquared(length_scale=4.7, periodicity=0.987)",23.6189,314.9178,4.8599,0.9998,0.9998,0.9998
"WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1) + 1**2","WhiteKernel(noise_level=1e-05) + ExpSineSquared(length_scale=4.7, periodicity=0.987) + WhiteKernel(noise_level=1e-05) + 0.209**2",23.6189,314.9178,4.8599,0.9998,0.9998,0.9998
WhiteKernel(noise_level=1) + DotProduct(sigma_0=1) + WhiteKernel(noise_level=1) + 1**2,WhiteKernel(noise_level=1e-05) + DotProduct(sigma_0=4.37e-05) + WhiteKernel(noise_level=0.106) + 1.15**2,115273.2915,-93.8060,339.5192,0.0602,-0.0203,-0.3260
"WhiteKernel(noise_level=1) + DotProduct(sigma_0=1) + WhiteKernel(noise_level=1) + RationalQuadratic(alpha=1, length_scale=1)","WhiteKernel(noise_level=1e-05) + DotProduct(sigma_0=6.34e-05) + WhiteKernel(noise_level=1e-05) + RationalQuadratic(alpha=1e+05, length_scale=31.5)",28.7697,285.2166,5.3637,0.9998,-0.5985,-6.3075
RBF(length_scale=1) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + DotProduct(sigma_0=1),RBF(length_scale=31.5) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05) + DotProduct(sigma_0=1e-05),28.7699,285.2167,5.3638,0.9998,-0.5985,-6.3074
"Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1) + RBF(length_scale=1) + WhiteKernel(noise_level=1)","Matern(length_scale=1.93e+04, nu=1.5) + WhiteKernel(noise_level=1e-05) + RBF(length_scale=31.2) + WhiteKernel(noise_level=1e-05)",26.4661,289.7899,5.1445,0.9998,0.5966,-0.8438
"Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1)","Matern(length_scale=1e+05, nu=1.5) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05) + ExpSineSquared(length_scale=0.925, periodicity=1)",24.1006,293.2949,4.9092,0.9998,0.9998,0.9997
"Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1)","Matern(length_scale=68.3, nu=1.5) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05)",41.9084,273.1727,6.4737,0.9997,0.8291,0.2201
1**2 + WhiteKernel(noise_level=1) + RBF(length_scale=1) + WhiteKernel(noise_level=1),0.878**2 + WhiteKernel(noise_level=1e-05) + RBF(length_scale=31.2) + WhiteKernel(noise_level=1e-05),26.4787,289.7997,5.1457,0.9998,0.6258,-0.7099
"RationalQuadratic(alpha=1, length_scale=1) + RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1)","RationalQuadratic(alpha=5.79e+03, length_scale=1e+05) + RationalQuadratic(alpha=1e+05, length_scale=31.2) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05)",26.4662,289.7899,5.1445,0.9998,0.5966,-0.8435
"WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)","WhiteKernel(noise_level=1e-05) + Matern(length_scale=68.3, nu=1.5) + WhiteKernel(noise_level=1e-05)",41.8795,273.2795,6.4714,0.9997,0.8291,0.2197
"WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + RationalQuadratic(alpha=1, length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1)","WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05) + RationalQuadratic(alpha=15.7, length_scale=1e+05) + ExpSineSquared(length_scale=0.925, periodicity=236)",24.1001,293.2968,4.9092,0.9998,0.9998,0.9997
"Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1)","Matern(length_scale=1e+05, nu=1.5) + WhiteKernel(noise_level=1e-05) + ExpSineSquared(length_scale=0.925, periodicity=1) + WhiteKernel(noise_level=1e-05)",24.1006,293.2949,4.9092,0.9998,0.9998,0.9997
DotProduct(sigma_0=1) + 1**2 + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1),DotProduct(sigma_0=1.15) + 0.00653**2 + WhiteKernel(noise_level=2.86e-05) + WhiteKernel(noise_level=0.106),115273.2915,-93.8060,339.5192,0.0602,-0.0203,-0.3260
WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),WhiteKernel(noise_level=2.9e-05) + WhiteKernel(noise_level=5.41e-05) + DotProduct(sigma_0=1.15) + WhiteKernel(noise_level=0.106),115273.2917,-93.8060,339.5192,0.0602,-0.0203,-0.3260
"WhiteKernel(noise_level=1) + DotProduct(sigma_0=1) + RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1)","WhiteKernel(noise_level=1e-05) + DotProduct(sigma_0=1e-05) + RationalQuadratic(alpha=1e+05, length_scale=31.5) + WhiteKernel(noise_level=1e-05)",28.7697,285.2166,5.3637,0.9998,-0.5985,-6.3075
"RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5)","RationalQuadratic(alpha=1e+05, length_scale=31.2) + WhiteKernel(noise_level=1e-05) + Matern(length_scale=1e+05, nu=1.5)",26.4601,289.9033,5.1439,0.9998,0.5965,-0.8438
WhiteKernel(noise_level=1) + RBF(length_scale=1) + WhiteKernel(noise_level=1) + DotProduct(sigma_0=1),WhiteKernel(noise_level=1e-05) + RBF(length_scale=31.5) + WhiteKernel(noise_level=1e-05) + DotProduct(sigma_0=0.000213),28.7699,285.2167,5.3638,0.9998,-0.5985,-6.3074
"Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1) + DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)","Matern(length_scale=68.6, nu=1.5) + WhiteKernel(noise_level=1e-05) + DotProduct(sigma_0=6.55e-05) + WhiteKernel(noise_level=1e-05)",35.6098,269.0981,5.9674,0.9997,-0.2691,-4.8013
"WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1)","WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05) + RationalQuadratic(alpha=1e+05, length_scale=31.4) + WhiteKernel(noise_level=1e-05)",28.4527,288.8126,5.3341,0.9998,0.9451,0.7500
"Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + 1**2","Matern(length_scale=68.1, nu=1.5) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05) + 0.818**2",41.4659,273.6163,6.4394,0.9997,0.6220,-0.7270
DotProduct(sigma_0=1) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1),DotProduct(sigma_0=1.15) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=0.000393) + WhiteKernel(noise_level=0.106),115273.2914,-93.8060,339.5192,0.0602,-0.0203,-0.3260
RBF(length_scale=1) + WhiteKernel(noise_level=1) + DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),RBF(length_scale=31.5) + WhiteKernel(noise_level=1e-05) + DotProduct(sigma_0=2.22e-05) + WhiteKernel(noise_level=1e-05),28.7699,285.2167,5.3638,0.9998,-0.5985,-6.3074
"WhiteKernel(noise_level=1) + DotProduct(sigma_0=1) + WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5)","WhiteKernel(noise_level=1e-05) + DotProduct(sigma_0=8.64e-05) + WhiteKernel(noise_level=1e-05) + Matern(length_scale=68.6, nu=1.5)",35.6098,269.0981,5.9674,0.9997,-0.2691,-4.8013
"DotProduct(sigma_0=1) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1)","DotProduct(sigma_0=0.206) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05) + ExpSineSquared(length_scale=4.7, periodicity=78.6)",23.4000,305.6779,4.8374,0.9998,0.9998,0.9998
1**2 + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1),1**2 + WhiteKernel(noise_level=0.113) + WhiteKernel(noise_level=0.000654),122659.6762,-93.0337,350.2280,-0.0000,-0.0011,-0.0244
"RationalQuadratic(alpha=1, length_scale=1) + RBF(length_scale=1) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1)","RationalQuadratic(alpha=1e-05, length_scale=1e+05) + RBF(length_scale=31.2) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05)",26.4662,289.7900,5.1445,0.9998,0.5966,-0.8435
"1**2 + RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1)","0.878**2 + RationalQuadratic(alpha=1e+05, length_scale=31.2) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05)",26.4787,289.7995,5.1458,0.9998,0.6258,-0.7099
